Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
eBike,Benson Town,Magadi Road,881.71,2.52
Moto,Cox Town,Indiranagar,0.0,0.0
Go Sedan,Mahadevapura,Whitefield,1458.3,26.2
Go Sedan,RT Nagar,Nagarbhavi,1323.55,26.2
Uber Go,Basavanagudi,Vijayanagar,1999.27,27.58
Moto,Bannerghatta Road,Devanahalli,1910.96,10.96
Premier,Electronic City,Mahadevapura,398.67,26.12
Moto,Banashankari,Anekal,1202.21,12.62
Go Sedan,Kadugodi,Hosur Road,1723.07,9.33
eBike,Vijayanagar,RT Nagar,0.0,0.0
Go Sedan,Malleswaram,Kammanahalli,0.0,0.0
Moto,Devanahalli,Bannerghatta Road,412.73,6.17
Non-AC Taxi,Kudlu Gate,Kudlu Gate,0.0,0.0
eBike,Ulsoor,Mahadevapura,0.0,0.0
eBike,JP Nagar,Richmond Town,0.0,0.0
Go Sedan,Indiranagar,Hosur Road,58.68,28.76
eBike,Kudlu Gate,Basavanagudi,1220.87,1.88
UberXL,MG Road,Jayanagar,652.62,12.86
Go Sedan,Hebbal,Jayanagar,0.0,0.0
UberXL,Kudlu Gate,Hosur Road,0.0,0.0
Non-AC Taxi,Jayanagar,Kammanahalli,0.0,0.0
eBike,Anekal,Frazer Town,0.0,0.0
Go Sedan,Cox Town,Electronic City,76.97,17.68
UberXL,Benson Town,Dasarahalli,1955.31,3.21
Moto,Yeshwanthpur,Jayanagar,0.0,0.0
UberXL,Indiranagar,Magadi Road,1825.78,16.73
eBike,HSR Layout,Cox Town,0.0,0.0
UberXL,Magadi Road,Lingarajapuram,136.1,15.15
UberXL,Bellandur,Lingarajapuram,0.0,0.0
Uber Go,RT Nagar,Hennur,660.99,21.89
Non-AC Taxi,Kadugodi,MG Road,0.0,0.0
UberXL,Malleswaram,HSR Layout,933.72,7.26
eBike,JP Nagar,Sarjapur Road,769.01,13.44
Premier,Hulimavu,KR Puram,1022.54,20.01
Premier,JP Nagar,Hebbal,0.0,0.0
UberXL,Domlur,Marathahalli,1489.39,27.81
Non-AC Taxi,CV Raman Nagar,Benson Town,500.62,7.32
Non-AC Taxi,RT Nagar,Yeshwanthpur,0.0,0.0
UberXL,Koramangala,Shivaji Nagar,0.0,0.0
Go Sedan,Indiranagar,Sarjapur Road,1971.21,19.88
Non-AC Taxi,HSR Layout,Kadugodi,512.72,4.7
Go Sedan,Kengeri,Benson Town,1910.18,13.75
Non-AC Taxi,Basavanagudi,Lingarajapuram,0.0,0.0
Moto,Basavanagudi,Ulsoor,0.0,0.0
Go Sedan,Bellandur,Hulimavu,446.81,8.86
Moto,MG Road,Koramangala,491.75,11.94
UberXL,KR Puram,Basavanagudi,246.87,18.76
UberXL,Frazer Town,Sadashivanagar,0.0,0.0
Uber Go,BTM Layout,Bellandur,1840.86,6.34
Uber Go,KR Puram,MG Road,0.0,0.0
Go Sedan,Whitefield,Rajajinagar,99.6,12.15
Uber Go,Jayanagar,Bellandur,167.72,3.0
Non-AC Taxi,Anekal,Electronic City,0.0,0.0
Non-AC Taxi,Jayanagar,Koramangala,1012.43,18.54
Moto,Bommanahalli,Richmond Town,1451.4,2.17
Uber Go,Yeshwanthpur,Rajajinagar,0.0,0.0
eBike,Magadi Road,Sarjapur Road,603.36,2.31
UberXL,Cox Town,Frazer Town,188.66,12.92
eBike,Yeshwanthpur,RT Nagar,310.4,6.8
Go Sedan,Magadi Road,Banashankari,0.0,0.0
Premier,Banashankari,Bannerghatta Road,1114.37,11.69
Go Sedan,BTM Layout,Hulimavu,424.61,18.6
Premier,Ulsoor,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,Frazer Town,HSR Layout,533.4,23.55
Non-AC Taxi,Rajajinagar,Cox Town,0.0,0.0
UberXL,Koramangala,Varthur,1789.35,21.73
Moto,Richmond Town,Sarjapur Road,468.99,20.64
Non-AC Taxi,Basaveshwaranagar,Sarjapur Road,0.0,0.0
eBike,Kammanahalli,Mahadevapura,0.0,0.0
Moto,Basavanagudi,Yeshwanthpur,0.0,0.0
eBike,KR Puram,Whitefield,957.59,28.43
UberXL,Bellandur,Sadashivanagar,1095.45,26.61
Non-AC Taxi,Nagarbhavi,KR Puram,1964.8,16.53
Go Sedan,Lingarajapuram,Koramangala,613.78,6.57
Premier,Banashankari,Benson Town,0.0,0.0
Premier,Koramangala,Devanahalli,204.99,25.0
Uber Go,Electronic City,Kengeri,0.0,0.0
Go Sedan,Devanahalli,Whitefield,1491.73,11.14
UberXL,Dasarahalli,Koramangala,0.0,0.0
Premier,Magadi Road,Malleswaram,561.52,29.4
Premier,Vidyaranyapura,Banashankari,1279.45,18.58
Premier,Rajajinagar,Magadi Road,0.0,0.0
Moto,Koramangala,Kudlu Gate,1435.57,22.0
eBike,Kammanahalli,JP Nagar,1947.52,7.39
Non-AC Taxi,Magadi Road,Yeshwanthpur,1235.01,12.95
Go Sedan,Hulimavu,Vijayanagar,792.02,24.01
eBike,Ulsoor,Bommanahalli,993.63,25.75
UberXL,Koramangala,Hulimavu,295.37,11.13
eBike,Rajajinagar,CV Raman Nagar,0.0,0.0
Premier,Yelahanka,Domlur,1540.73,7.28
Uber Go,Electronic City,Magadi Road,992.56,10.03
UberXL,JP Nagar,Koramangala,654.21,2.12
Moto,Lingarajapuram,Banashankari,0.0,0.0
eBike,Lingarajapuram,JP Nagar,0.0,0.0
Go Sedan,CV Raman Nagar,Electronic City,1799.37,19.44
Non-AC Taxi,Ulsoor,JP Nagar,0.0,0.0
Moto,Kadugodi,Frazer Town,0.0,0.0
Uber Go,Domlur,Dasarahalli,0.0,0.0
Go Sedan,Kadugodi,Bellandur,1930.29,15.99
Non-AC Taxi,Sarjapur Road,Benson Town,0.0,0.0
Moto,Kammanahalli,Mahadevapura,1736.25,18.81
Uber Go,Varthur,HSR Layout,0.0,0.0
UberXL,Indiranagar,Basaveshwaranagar,200.9,5.09
eBike,Ulsoor,Yeshwanthpur,0.0,0.0
UberXL,Ulsoor,Yeshwanthpur,734.74,22.5
UberXL,Nagarbhavi,CV Raman Nagar,0.0,0.0
Moto,Magadi Road,Lingarajapuram,424.49,27.79
eBike,MG Road,KR Puram,315.94,19.17
Uber Go,Benson Town,Yelahanka,1976.01,1.93
UberXL,Basaveshwaranagar,KR Puram,0.0,0.0
Premier,Shivaji Nagar,Nagarbhavi,250.72,20.88
Moto,Whitefield,Bommanahalli,1563.87,12.82
UberXL,Vijayanagar,BTM Layout,496.58,27.5
Moto,Kadugodi,Vijayanagar,766.21,6.55
Premier,Hulimavu,BTM Layout,1851.37,4.45
Go Sedan,Magadi Road,Bellandur,736.32,21.62
UberXL,Vidyaranyapura,Mahadevapura,737.31,19.73
Moto,Kadugodi,Kengeri,1201.07,8.25
Premier,Richmond Town,Malleswaram,0.0,0.0
eBike,Yeshwanthpur,Kudlu Gate,0.0,0.0
Moto,Lingarajapuram,Richmond Town,648.29,22.88
Go Sedan,RT Nagar,Richmond Town,0.0,0.0
Premier,Mahadevapura,Vijayanagar,0.0,0.0
Moto,Banashankari,Hennur,0.0,0.0
Non-AC Taxi,Rajajinagar,Dasarahalli,0.0,0.0
Premier,Kadugodi,Anekal,1835.91,23.57
Moto,Malleswaram,RT Nagar,0.0,0.0
UberXL,Malleswaram,Nagarbhavi,1839.27,14.83
UberXL,BTM Layout,Varthur,1586.7,4.66
eBike,Sarjapur Road,Mahadevapura,1264.58,25.01
Go Sedan,Bannerghatta Road,Hebbal,0.0,0.0
Uber Go,JP Nagar,Hormavu,963.52,1.48
Premier,Electronic City,Yelahanka,345.71,14.26
Premier,Dasarahalli,Hebbal,1458.78,16.44
Go Sedan,Nagarbhavi,Jayanagar,0.0,0.0
Uber Go,Kadugodi,Benson Town,0.0,0.0
Moto,CV Raman Nagar,Devanahalli,1021.2,12.6
Uber Go,Vidyaranyapura,Anekal,126.55,5.65
Moto,CV Raman Nagar,MG Road,927.93,23.71
Go Sedan,Nagarbhavi,Sarjapur Road,0.0,0.0
UberXL,Jayanagar,Vidyaranyapura,1793.93,19.52
Go Sedan,Benson Town,Richmond Town,1086.73,4.0
Go Sedan,Ulsoor,Lingarajapuram,1635.91,14.35
Go Sedan,Cox Town,Magadi Road,0.0,0.0
Uber Go,JP Nagar,Yeshwanthpur,0.0,0.0
Moto,Electronic City,Ulsoor,774.02,18.81
Premier,Dasarahalli,Bannerghatta Road,0.0,0.0
UberXL,Varthur,Banashankari,0.0,0.0
Go Sedan,Banashankari,Anekal,0.0,0.0
Uber Go,Devanahalli,KR Puram,236.15,28.27
Premier,Frazer Town,Nagarbhavi,1680.24,15.38
Premier,HSR Layout,Dasarahalli,1936.07,20.09
Premier,Nagarbhavi,Cox Town,944.08,13.14
Uber Go,Yeshwanthpur,Malleswaram,0.0,0.0
Moto,Hennur,KR Puram,1936.72,3.28
Premier,Kammanahalli,Frazer Town,1518.67,7.43
Moto,Malleswaram,Banashankari,588.71,26.67
Uber Go,HSR Layout,Yelahanka,183.56,24.52
Go Sedan,Cox Town,Kammanahalli,174.74,21.53
Go Sedan,Benson Town,Richmond Town,0.0,0.0
Non-AC Taxi,MG Road,Yelahanka,1901.6,29.79
Moto,Shivaji Nagar,Yelahanka,0.0,0.0
Non-AC Taxi,Vidyaranyapura,Basaveshwaranagar,1670.31,5.75
Premier,Malleswaram,Dasarahalli,0.0,0.0
Non-AC Taxi,Mahadevapura,Electronic City,1750.78,17.21
Premier,Hormavu,Domlur,1253.65,1.02
Uber Go,Kadugodi,Ulsoor,154.88,11.44
eBike,Benson Town,Hosur Road,716.73,19.62
UberXL,JP Nagar,Electronic City,553.95,5.14
Non-AC Taxi,Bommanahalli,HSR Layout,1189.19,22.1
Premier,Hosur Road,Hulimavu,516.33,17.89
eBike,Anekal,Benson Town,1754.65,27.02
Uber Go,Yeshwanthpur,Kengeri,578.12,19.53
Non-AC Taxi,Benson Town,Hebbal,1104.23,8.49
eBike,Hulimavu,Hormavu,1543.48,3.39
Moto,Basavanagudi,BTM Layout,712.69,23.33
Moto,Kudlu Gate,Banashankari,156.2,6.51
eBike,Rajajinagar,Magadi Road,908.15,27.03
UberXL,Hosur Road,Lingarajapuram,206.18,12.37
Uber Go,Hebbal,Hormavu,0.0,0.0
Moto,RT Nagar,Hebbal,972.53,20.97
Premier,Vidyaranyapura,Basaveshwaranagar,1943.54,5.65
Moto,Varthur,Yeshwanthpur,639.86,11.2
Premier,Malleswaram,Cox Town,1495.74,2.98
Premier,JP Nagar,BTM Layout,0.0,0.0
Uber Go,Jayanagar,Electronic City,916.55,26.03
eBike,Rajajinagar,Yeshwanthpur,1882.33,27.42
Premier,Basaveshwaranagar,Domlur,760.67,27.86
Go Sedan,Malleswaram,Shivaji Nagar,0.0,0.0
Moto,KR Puram,Hebbal,478.02,9.76
eBike,Sarjapur Road,Vidyaranyapura,1040.15,26.54
Uber Go,Ulsoor,Indiranagar,1771.6,26.55
Uber Go,Dasarahalli,Vidyaranyapura,0.0,0.0
UberXL,Cox Town,Frazer Town,963.26,17.39
Non-AC Taxi,Hennur,Basavanagudi,0.0,0.0
UberXL,Hormavu,Mahadevapura,1782.2,7.32
UberXL,JP Nagar,Yelahanka,0.0,0.0
Moto,Marathahalli,MG Road,1790.53,1.36
