Vehicle Type,Pickup Location,Drop Location,Ride Distance,Booking Value
Auto,Khandsa,Malviya Nagar,13.58,627.0
Premier Sedan,Central Secretariat,Inderlok,34.02,416.0
Bike,Ghitorni Village,Khan Market,48.21,737.0
Auto,AIIMS,Narsinghpur,4.85,316.0
Go Mini,Vaishali,Punjabi Bagh,41.24,640.0
Auto,Mayur Vihar,Cyber Hub,6.56,136.0
Auto,Udyog Bhawan,Dwarka Sector 21,19.84,181.0
Go Mini,Malviya Nagar,Ghitorni Village,21.44,394.0
Go Mini,Madipur,GTB Nagar,39.55,836.0
Auto,Jama Masjid,Khan Market,34.76,410.0
Premier Sedan,IGI Airport,Madipur,21.97,401.0
Premier Sedan,IGI Airport,Madipur,21.97,401.0
Go Sedan,Punjabi Bagh,Mansarovar Park,13.64,264.0
Auto,Greater Noida,Botanical Garden,4.5,183.0
Go Mini,Tis Hazari,IMT Manesar,38.03,713.0
Go Mini,Noida Sector 18,Old Gurgaon,14.53,113.0
Auto,Kanhaiya Nagar,Anand Vihar,7.39,767.0
Uber XL,Okhla,Barakhamba Road,10.23,495.0
Auto,Faridabad Sector 15,Malviya Nagar,39.21,2847.0
Go Mini,Mundka,Preet Vihar,8.36,282.0
Premier Sedan,DLF City Court,Nehru Place,6.39,656.0
Auto,Tis Hazari,Shahdara,46.66,134.0
Go Sedan,Nirman Vihar,Malviya Nagar,27.07,470.0
Auto,New Delhi Railway Station,Noida Film City,12.16,187.0
Premier Sedan,Civil Lines Gurgaon,Mandi House,10.28,186.0
Premier Sedan,Civil Lines Gurgaon,Mandi House,10.28,186.0
eBike,Seelampur,Janakpuri,44.42,70.0
Auto,Vinobapuri,Karkarduma,34.64,273.0
Go Sedan,Sultanpur,Noida Extension,20.91,251.0
Go Sedan,Dilshad Garden,Nehru Place,8.13,246.0
Auto,Aya Nagar,Karkarduma,2.96,237.0
Go Mini,MG Road,Hauz Rani,33.04,379.0
Go Mini,Jasola,Palam Vihar,44.7,545.0
Go Mini,Jasola,Palam Vihar,44.7,545.0
Go Mini,Kashmere Gate,RK Puram,7.38,479.0
Go Mini,Punjabi Bagh,Madipur,24.93,647.0
Premier Sedan,Mayur Vihar,Palam Vihar,25.16,125.0
Premier Sedan,Tughlakabad,Akshardham,48.85,375.0
Auto,Cyber Hub,Yamuna Bank,24.41,310.0
eBike,Vidhan Sabha,Mehrauli,3.71,291.0
Auto,Anand Vihar,Saket,32.98,114.0
Auto,Anand Vihar,Saket,32.98,114.0
Go Mini,Uttam Nagar,New Delhi Railway Station,11.2,464.0
Go Sedan,Model Town,Mundka,45.4,160.0
